"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","4.0322580645161","1.07396640826838","3.64304545817689","3.12186849610734","3.99162804604573","5.83668775158175","5.55555555555574","3.87337536996479","5.21555996035713","6.3110797127043","3.36139107320899","3.22528797213997","2.99994809778394","1.86948853615539","2.28037198258765","4.04402131190511","2.88360430316263","3.31577499115532","3.65737658137544","2.52993805918781","3.39562524612475","3.60871145889202","5.39120264004364","8.95773218758922","-2.13608055410108","2.07713809920375","4.38291116193057","0.564036727972209","",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6862687216714","7.25489556090299","8.48288926754459","30.5549406065733","-8.28307839459549","0.892536936481775","10.201660141583","7.21825776057463","",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6083333333331","299.060500158853","1379.41427352858","948.811188811189","2671.7920722763","4145.1076473846","219.176721172974","107.284821528299","248.195902412868","324.99687160132","152.561022469299","108.897436089429","98.2237177041644","43.5419472520538","22.9637444394549","13.303253361405","12.2486755229593","12.4737134078335","13.7314511365106","14.4705411972156","13.4670153504452","10.2934943262188","",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.005421253526","85.0047512387162","22.5650526933694","7.79321853789186","12.7254778087106","33.1802743753955","20.6428588670596","0.389437653561629","0.0500181363468215","3.10758827031434","7.77052583431556","0.484002611818468","2.28001916938099","2.366581956798","2.370728319043","2.93268248162258","3.35924241776604","2.28050222182009","3.55226738790908","3.45034715268018","2.03159593996595","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","8.26666666600006","15.5282817502667","9.66969548151242","10.3174158877412","11.989283322105","9.71603274954307","","9.62605664613179","10.7585034160146","8.33125575581153","5.49366551432094","8.11639795517132","7.25436179981627","6.79885844748821","4.22241666240757","5.91154496373503","7.74088603961327","8.45146240803871","8.99999999999976","9.3597515895312","9.37034415971461","5.1125989044429","6.54379068524165","4.68130623916426","3.60116103260957","3.41731948975814","2.66937369053692","1.85379035325276","1.77220437351026","1.83299389002033","2.71259247474347","3.63228004956628","3.4710840896127","3.8768506504","4.96597654553253","11.270665238085","2.92089711805387","3.96996011162641","4.52176466270286","4.93587981438537","",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.250420244814","1.55980098148531","0.878936755572823","0.876836632777128","","",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","13.3943427620626","28.3198826118859","23.8993710691821","22.1965851407479","28.6253776435047","31.9142689371692","29.2009793011355","16.210163652024","7.57485917580783","13.5868816315283","34.7325003032876","58.4458851071495","61.2490765471383","23.4748898678416","182.926829268293","443.965517241376","176.001811184063","175.514723976704","159.507115636537","100.764370305146","104.476042578907","164.776810573524","343.810676313218","626.718592068498","672.180651051974","90.0966050749321","131.327020980362","342.955110191569","3079.8097030531","2313.96466339751","171.671696468307","24.8999485988254","10.6114940961306","4.17734724367","3.37611684980121","0.155695900742245","0.527258257063252","0.920336467095566","-1.16689546970002","-0.935939411978723","-1.06663550777849","25.8684978656633","13.4428492915644","4.41571792341912","9.63939954620811","10.901124534884","8.83141298885049","","","","","","",
"Armenia","ARM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4447.86550389101","175.951325534584","18.6811856400357","13.9607641217913","8.67248632385149","0.648245760470374","-0.790883768934677","3.1459046468503","1.0600492934165","4.7215533660534","6.96126135875797","0.642343268242527","2.89235662458999","4.40736089644508","8.94995335353414","3.4067668268377","8.18157554355633","7.65123363797673","2.55547090012942","",
"American Samoa","ASM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
